Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
Td5 Injection Quantity,Inj Qty,22F001,((A*256)+B)/100,0,80,mg,
Td5 Boost,Boost,22F002,(((A*256)+B)/1000)-1,-0.5,2.5,bar,
Td5 Fuel Temp,Fuel T,22F003,A-40,-40,120,C,
Td5 MAF Air Mass,MAF,22F004,((A*256)+B)/100,0,80,g/s,
Td5 Torque Limit,Trq Lim,22F005,((A*256)+B)/100,0,80,mg,
Td5 Smoke Limit,Smk Lim,22F006,((A*256)+B)/100,0,80,mg,
Td5 EGR Position,EGR,22F007,((A*256)+B)/10,0,100,%,
Td5 Wastegate Position,WGate,22F008,((A*256)+B)/10,0,100,%,
Td5 Gear,Gear,22F009,A,0,6,,
Td5 Accel Track 1,Acc T1,22F00A,((A*256)+B)/1000,0,5,V,
Td5 Accel Track 2,Acc T2,22F00B,((A*256)+B)/1000,0,5,V,
Td5 Driver Demand,Demand,22F00C,((A*256)+B)/10,0,100,%,
Td5 Status Bits,Status,22F00D,A,0,63,bits,
Td5 EGR Inlet Throttle,EGR In,22F019,((A*256)+B)/100,0,100,%,
Td5 Idle Speed Error,Idle Err,22F018,(((A*256)+B+32768)%65536)-32768,-500,500,rpm,
Td5 MAP Direct,MAP Dir,22F01F,((A*256)+B)/100,0,300,kPa,
Td5 Coolant Sensor V,Cool V,22F01B,((A*256)+B)/1000,0,5,V,
Td5 Inlet Air Sensor V,IAT V,22F01C,((A*256)+B)/1000,0,5,V,
Td5 Fuel Sensor V,Fuel V,22F01D,((A*256)+B)/1000,0,5,V,
Td5 MAF Sensor V,MAF V,22F01E,((A*256)+B)/1000,0,5,V,
Td5 Output Status,Outputs,22F01A,((A*256)+B),0,511,bits,
Td5 Avg MPG 10mi,Avg MPG,22F025,((A*256)+B)/10,0,120,mpg,
Td5 Instant MPG,Inst MPG,22F026,((A*256)+B)/10,0,120,mpg,
Td5 Avg L/100km 10mi,Avg L100,22F027,((A*256)+B)/10,0,50,L/100km,
Td5 Trip Fuel Used,Trip Fuel,22F028,((A*256)+B)/100,0,600,L,
Td5 Battery Direct,Batt Dir,22F029,((A*256)+B)/1000,0,20,V,
Td5 Ambient Direct,Amb Dir,22F02A,((A*256)+B)/100,0,120,kPa,
Td5 Pedal Tracks,Pedal Trk,22F02B,A,0,3,,
Td5 Gearbox Neutral,Neutral,22F02C,A,0,1,,
