Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
Td5 Injection Quantity,Inj Qty,22F001,((A*256)+B)/100,0,80,mg,
Td5 Boost,Boost,22F002,(((A*256)+B)/1000)-1,-0.5,2.5,bar,
Td5 Fuel Temp,Fuel T,22F003,A-40,-40,120,C,
Td5 MAF Air Mass,MAF,22F004,((A*256)+B)/100,0,80,g/s,
Td5 Torque Limit,Trq Lim,22F005,((A*256)+B)/100,0,80,mg,
Td5 Smoke Limit,Smk Lim,22F006,((A*256)+B)/100,0,80,mg,
Td5 EGR Position,EGR,22F007,((A*256)+B)/10,0,100,%,
Td5 Wastegate Position,WGate,22F008,((A*256)+B)/10,0,100,%,
Td5 Gear,Gear,22F009,A,0,6,,
Td5 Accel Track 1,Acc T1,22F00A,((A*256)+B)/1000,0,5,V,
Td5 Accel Track 2,Acc T2,22F00B,((A*256)+B)/1000,0,5,V,
Td5 Driver Demand,Demand,22F00C,((A*256)+B)/10,0,100,%,
Td5 Status Bits,Status,22F00D,A,0,63,bits,
